Question,Answer
"hod","Please specify the department for the HOD."
"chairman","Please mention the department for the chairman."
"chairperson","Please mention the department for the chairperson."
"who is hod","Please specify the department for the HOD."
"who is the hod","Please mention the department for the HOD."
"who is chairman","Please mention the department for the chairman."
"who is the chairman","Please specify the department for the chairman."
"who is chairperson","Please specify the department for the chairperson."
"associate professor","Which department's associate professor are you asking about?"
"assistant professor","Which department's assistant professor are you asking about?"
"lecturer","Please specify the department for the lecturer."
"teaching assistant","Which department's teaching assistant are you asking about?"
"lab assistant","Please specify the department for the lab assistant."
"lab attendant","Which department's lab attendant are you asking about?"
"Department / Dept?", "Which Department do you want to ask? Kindly Mention The Department."
"How many","Kidnly Rephrase and ask proper question"
"What are the names","What names you wanna ask?"
"staff of the","Which Staff you wanna ask?"
"Microbiology","Yes, There is Microbiology Department, what you wanna ask about the department?"
"Biotechnology","Yes, There is Biotechnology Department, what you wanna ask about the department?"
"Computer Science","Yes, There is Computer Science Department, what you wanna ask about the department?"
"Information Technologies IT","Yes, There is Information Technology Department, what you wanna ask about the department?"
"Education","Yes, There is Education Department, what you wanna ask about the department?"
"English","Yes, There is English Department, what you wanna ask about the department?"
"Business Administration BBA","Yes, There is Business Administration Department, what you wanna ask about the department?"
"Mathematics","Yes, There is Mathematics Department, what you wanna ask about the department?"
"Data Science","Yes, There is Data Science Classes in the Computer Science Department, what you wanna ask about the department?"
"Artificial Intelligence AI","Yes, There is Artificial Intelligence AI Classes in the Computer Science Department, what you wanna ask about the department?"
"Political Science","Yes, There is Political Science Department, what you wanna ask about the department?"
"Physics","Yes, There is Physics Department, what you wanna ask about the department?"
"Zoology","Yes, There is Zoology Department, what you wanna ask about the department?"
"Chemistry","Yes, There is Chemistry Department, what you wanna ask about the department?"
"Sindhi","Yes, There is Sindhi Department, what you wanna ask about the department?"
"Urdu","Yes, There is Urdu Department, what you wanna ask about the department?"
"Islamic Studies / Islamiyat","Yes, There is Islamic Studies Department, what you wanna ask about the department?"
